               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.035642,            0.027214,           0.0025782,             0.89877,             0.83392,             0.89613,              0.6192,            0.030265,            0.020281,           0.0025733,           0.0065796,           0.0065796,           0.0065796
                  82,            0.035805,            0.027378,           0.0024673,             0.90759,              0.8288,             0.89637,             0.61999,            0.030265,            0.020313,           0.0024238,           0.0065055,           0.0065055,           0.0065055
                  83,            0.035717,            0.027611,           0.0024584,             0.89042,             0.83599,             0.89484,             0.61952,            0.030358,            0.020279,            0.002318,            0.006431,            0.006431,            0.006431
                  84,            0.035778,            0.028078,           0.0025128,             0.90539,             0.82803,              0.8961,             0.62194,            0.030228,            0.020192,           0.0024931,           0.0063562,           0.0063562,           0.0063562
                  85,            0.035628,            0.027226,           0.0024626,             0.89894,             0.83162,             0.89538,             0.62034,              0.0302,            0.020141,           0.0023502,            0.006281,            0.006281,            0.006281
                  86,            0.035824,            0.027365,           0.0024511,             0.90572,             0.82986,             0.89761,             0.62226,            0.030288,             0.02014,           0.0025049,           0.0062056,           0.0062056,           0.0062056
                  87,            0.035639,            0.027903,           0.0023819,             0.90745,             0.83057,             0.89764,             0.62226,            0.030218,             0.02011,           0.0027028,           0.0061298,           0.0061298,           0.0061298
                  88,            0.035323,            0.027267,           0.0024289,             0.90451,             0.83261,             0.89905,             0.62239,            0.030285,            0.020104,           0.0025473,           0.0060538,           0.0060538,           0.0060538
                  89,            0.035387,            0.027387,           0.0024151,             0.89961,             0.83393,             0.89861,             0.62255,            0.030249,            0.020131,           0.0024103,           0.0059775,           0.0059775,           0.0059775
                  90,            0.035721,            0.027831,            0.002456,             0.89456,             0.83834,             0.89794,             0.62378,            0.030187,            0.020158,           0.0022411,            0.005901,            0.005901,            0.005901
                  91,            0.035829,            0.027877,           0.0024705,             0.89278,             0.83551,             0.89736,             0.62436,            0.030122,            0.020165,           0.0026795,           0.0058244,           0.0058244,           0.0058244
                  92,            0.035545,            0.027484,           0.0025144,             0.90396,             0.83274,             0.89888,              0.6235,            0.030149,            0.020197,           0.0026833,           0.0057475,           0.0057475,           0.0057475
                  93,            0.035075,            0.027523,           0.0023683,             0.89367,             0.83693,             0.89951,             0.62355,            0.030072,            0.020164,           0.0022782,           0.0056704,           0.0056704,           0.0056704
                  94,             0.03533,            0.027436,           0.0024336,             0.89621,             0.83445,             0.89897,             0.62635,            0.029978,            0.020173,           0.0023984,           0.0055932,           0.0055932,           0.0055932
                  95,            0.035002,            0.026638,           0.0023769,             0.89368,             0.84017,             0.89766,             0.62734,            0.029997,            0.020154,           0.0025845,           0.0055158,           0.0055158,           0.0055158
                  96,              0.0352,            0.027031,            0.002402,               0.899,             0.83532,             0.89695,             0.62458,            0.029995,            0.020184,           0.0024623,           0.0054384,           0.0054384,           0.0054384
                  97,            0.035044,            0.026963,           0.0024246,              0.9043,             0.83287,             0.89696,             0.62493,            0.029979,            0.020192,           0.0025067,           0.0053608,           0.0053608,           0.0053608
                  98,             0.03514,            0.027416,           0.0023919,             0.89844,             0.83846,             0.89741,             0.62649,             0.02996,            0.020161,           0.0026194,           0.0052832,           0.0052832,           0.0052832
                  99,            0.034727,            0.026957,           0.0024557,             0.89762,             0.84037,             0.89798,             0.62589,            0.029973,            0.020152,            0.002523,           0.0052055,           0.0052055,           0.0052055
                 100,            0.034914,            0.026869,            0.002448,             0.89844,             0.84078,             0.89879,             0.62818,             0.02988,            0.020134,           0.0023774,           0.0051278,           0.0051278,           0.0051278
                 101,            0.034834,            0.026762,           0.0023542,             0.90378,             0.83944,             0.89865,             0.62771,            0.029919,            0.020151,           0.0023267,             0.00505,             0.00505,             0.00505
                 102,            0.034584,             0.02662,           0.0023849,             0.90304,             0.83713,               0.898,             0.62769,            0.029961,            0.020191,           0.0023138,           0.0049722,           0.0049722,           0.0049722
                 103,            0.034793,            0.027128,           0.0024143,             0.89991,             0.84185,             0.89761,             0.62885,            0.029917,            0.020179,           0.0023296,           0.0048945,           0.0048945,           0.0048945
                 104,            0.034233,            0.026991,           0.0022282,              0.9002,             0.84216,             0.89783,             0.62891,             0.02988,            0.020175,           0.0022798,           0.0048168,           0.0048168,           0.0048168
                 105,            0.034482,            0.026781,           0.0023285,             0.90055,             0.84338,             0.89793,             0.62864,            0.029856,            0.020175,           0.0022665,           0.0047392,           0.0047392,           0.0047392
                 106,            0.034335,            0.026946,           0.0024056,             0.90293,              0.8426,             0.89805,             0.62851,            0.029848,            0.020173,           0.0022687,           0.0046616,           0.0046616,           0.0046616
                 107,             0.03457,            0.026505,           0.0023154,             0.90245,             0.84279,             0.89854,             0.63033,            0.029814,            0.020167,           0.0022726,           0.0045842,           0.0045842,           0.0045842
                 108,            0.034183,            0.026605,            0.002208,             0.90073,             0.84425,             0.89941,              0.6309,            0.029776,            0.020176,           0.0022671,           0.0045068,           0.0045068,           0.0045068
                 109,            0.034493,            0.026752,           0.0022681,             0.90188,             0.84417,             0.89957,             0.63099,            0.029733,            0.020202,           0.0023001,           0.0044296,           0.0044296,           0.0044296
                 110,             0.03431,            0.026678,            0.002317,             0.89978,             0.84542,             0.89993,             0.63229,            0.029679,            0.020174,            0.002315,           0.0043525,           0.0043525,           0.0043525
                 111,            0.034493,            0.026373,           0.0022685,             0.90132,             0.84672,             0.89983,             0.63168,             0.02969,            0.020225,           0.0023316,           0.0042756,           0.0042756,           0.0042756
